group,car_window,N,mean,median,std,min,max,section,test_type,test_method,N_total,N_valid,L1,CAR_center,CAR_std,z_statistic,degrees_of_freedom,p_value,significant_5pct,significant_1pct,t_statistic,mean_diff,test_statistic
5a: P - Purchase (traditional),CAR_pre20_pre1,12.0,-0.018866389990160593,-0.039093687448251355,0.06541816889181186,-0.1329522192190543,0.1036306026917694,descriptive,,,,,,,,,,,,,,,
5a: P - Purchase (traditional),CAR_0_1,12.0,0.002988155769186709,-0.00854460204823565,0.027764728845228796,-0.0263356971853805,0.0647160751841165,descriptive,,,,,,,,,,,,,,,
5a: P - Purchase (traditional),CAR_0_5,12.0,-0.009038890227858741,-0.0024981891575031998,0.03727727912109475,-0.0804777050294503,0.0369099847029439,descriptive,,,,,,,,,,,,,,,
5a: P - Purchase (traditional),CAR_0_10,12.0,-0.01128004403379819,0.0026070529358835,0.056655975241005394,-0.1191160755052126,0.0638108805419009,descriptive,,,,,,,,,,,,,,,
5a: P - Purchase (traditional),CAR_0_20,12.0,-0.014508697123341225,-0.02493315156753395,0.050430335107883056,-0.0984246904266995,0.0575195037244223,descriptive,,,,,,,,,,,,,,,
5a: P - Purchase (traditional),CAR_pre20_20,12.0,-0.033375087113501845,-0.07486755659892544,0.09473583874618603,-0.1432664814887304,0.1483555342763983,descriptive,,,,,,,,,,,,,,,
5b: S - Sale (traditional),CAR_pre20_pre1,315.0,0.014598745171431827,0.0106572098989026,0.11268541744677595,-0.4232965685362844,0.6233174225400376,descriptive,,,,,,,,,,,,,,,
5b: S - Sale (traditional),CAR_0_1,314.0,-7.723307878787588e-05,-0.0005659894598627,0.03352039930116731,-0.1417312374603223,0.2487147305357485,descriptive,,,,,,,,,,,,,,,
5b: S - Sale (traditional),CAR_0_5,315.0,-0.002406142748300547,-0.0015988309522342,0.04864273986895737,-0.1944562247664855,0.2696795431912889,descriptive,,,,,,,,,,,,,,,
5b: S - Sale (traditional),CAR_0_10,315.0,-0.004400012985156763,-0.0039775535032084,0.06515415687777482,-0.3439905898789989,0.4273921690808079,descriptive,,,,,,,,,,,,,,,
5b: S - Sale (traditional),CAR_0_20,315.0,-0.006939757902446198,-0.0020961828290984,0.07512848985844181,-0.2902807648551301,0.3656544980312766,descriptive,,,,,,,,,,,,,,,
5b: S - Sale (traditional),CAR_pre20_20,315.0,0.007658987268985634,-0.0006183185149011,0.12652302396000925,-0.3989728269704872,0.6898785928110012,descriptive,,,,,,,,,,,,,,,
5b': S - Sale+OE (traditional),CAR_pre20_pre1,165.0,0.024881788281329007,0.0213028531299976,0.11924125628856856,-0.2633744699180737,0.6822064653700043,descriptive,,,,,,,,,,,,,,,
5b': S - Sale+OE (traditional),CAR_0_1,165.0,-0.002955970555060182,-0.0016129963201712,0.03230780270074757,-0.1273224017440709,0.1413574053606107,descriptive,,,,,,,,,,,,,,,
5b': S - Sale+OE (traditional),CAR_0_5,165.0,-0.004194563201674682,-0.0004322188370573,0.056055906720169725,-0.2123377521939615,0.2005701046225876,descriptive,,,,,,,,,,,,,,,
5b': S - Sale+OE (traditional),CAR_0_10,165.0,-3.744725729287174e-05,-0.0001513611586151,0.06522356892871117,-0.1730533689625712,0.265441581965269,descriptive,,,,,,,,,,,,,,,
5b': S - Sale+OE (traditional),CAR_0_20,165.0,0.002857836389387083,0.0005314087099553,0.07954435892894367,-0.2288888346114003,0.3207021766346087,descriptive,,,,,,,,,,,,,,,
5b': S - Sale+OE (traditional),CAR_pre20_20,165.0,0.0277396246707161,0.0052840763077284,0.14429576059138816,-0.3708852835939227,0.5136729124074114,descriptive,,,,,,,,,,,,,,,
5c: P - Purchase (LLM),CAR_pre20_pre1,12.0,-0.007577552393498637,-0.02184149999999995,0.07324322235652887,-0.1402179999999999,0.144955,descriptive,,,,,,,,,,,,,,,
5c: P - Purchase (LLM),CAR_0_1,12.0,0.007830519528515417,-0.00146545414958815,0.028308203135635066,-0.018692936,0.078515,descriptive,,,,,,,,,,,,,,,
5c: P - Purchase (LLM),CAR_0_5,12.0,0.005562686195182058,0.0047344999999999965,0.03398310092732235,-0.0453649082991764,0.073044,descriptive,,,,,,,,,,,,,,,
5c: P - Purchase (LLM),CAR_0_10,12.0,0.004524743214478048,-0.0015764999999999503,0.043604887175737655,-0.068015,0.070022064,descriptive,,,,,,,,,,,,,,,
5c: P - Purchase (LLM),CAR_0_20,12.0,0.013920661711143261,0.00326310490697765,0.049110876153800026,-0.059572,0.0937893560786209,descriptive,,,,,,,,,,,,,,,
5c: P - Purchase (LLM),CAR_pre20_20,12.0,0.006343109317644644,-0.00666922631357315,0.089330437247173,-0.08613,0.1927251470977398,descriptive,,,,,,,,,,,,,,,
5d: S - Sale (LLM),CAR_pre20_pre1,315.0,0.032690514718722655,0.014524,0.1560312072690172,-0.4588110000000001,1.4403798866748094,descriptive,,,,,,,,,,,,,,,
5d: S - Sale (LLM),CAR_0_1,314.0,-0.0005606480272981954,-0.0006850000000000001,0.040274747303593,-0.243219,0.2784747310770933,descriptive,,,,,,,,,,,,,,,
5d: S - Sale (LLM),CAR_0_5,315.0,-0.00253104762607272,-0.0004250455237253,0.057888169700495685,-0.2903829999999999,0.3139077310770933,descriptive,,,,,,,,,,,,,,,
5d: S - Sale (LLM),CAR_0_10,315.0,-0.0018377683586778156,-0.0009682932320894,0.07887275604517299,-0.355978,0.4667120494868956,descriptive,,,,,,,,,,,,,,,
5d: S - Sale (LLM),CAR_0_20,315.0,-5.62036059718295e-05,-0.0017051749379837,0.08936257662124374,-0.3659639999999999,0.4311747085265988,descriptive,,,,,,,,,,,,,,,
5d: S - Sale (LLM),CAR_pre20_20,315.0,0.03263431111275083,0.003121458459406,0.18190814899535038,-0.3860529050612072,1.4249628866748094,descriptive,,,,,,,,,,,,,,,
5d': S - Sale+OE (LLM),CAR_pre20_pre1,165.0,0.0561968329925747,0.035277,0.18601372614846828,-0.291147,1.4403798866748094,descriptive,,,,,,,,,,,,,,,
5d': S - Sale+OE (LLM),CAR_0_1,165.0,-0.0013788291844474888,-0.001461,0.04352320058856994,-0.243219,0.139895,descriptive,,,,,,,,,,,,,,,
5d': S - Sale+OE (LLM),CAR_0_5,165.0,-0.002176643097205778,-0.0008429999999999,0.06929367391883089,-0.2903829999999999,0.2347839393939393,descriptive,,,,,,,,,,,,,,,
5d': S - Sale+OE (LLM),CAR_0_10,165.0,0.00620907987959866,-0.000868,0.08630792764605594,-0.2917157692307692,0.384289,descriptive,,,,,,,,,,,,,,,
5d': S - Sale+OE (LLM),CAR_0_20,165.0,0.017937610642629827,0.0002509999999999,0.09895149081012826,-0.3659639999999999,0.3608139999999999,descriptive,,,,,,,,,,,,,,,
5d': S - Sale+OE (LLM),CAR_pre20_20,165.0,0.07413444363520454,0.0409529999999999,0.22204332875395744,-0.3750823,1.4249628866748094,descriptive,,,,,,,,,,,,,,,
5a: P - Purchase (traditional),CAR_pre20_pre1,,,,,,,grank_test,mean,G-Rank Z test,12.0,12.0,200.0,-0.018866389990160593,0.06541816889181186,-1.1990198142030368,N/A,0.2305202411767464,No,No,,,
5a: P - Purchase (traditional),CAR_pre20_pre1,,,,,,,grank_test,median,G-Rank Z test,12.0,12.0,200.0,-0.039093687448251355,0.06541816889181186,0.5422952686644439,N/A,0.5876151144662725,No,No,,,
5a: P - Purchase (traditional),CAR_0_1,,,,,,,grank_test,mean,G-Rank Z test,12.0,12.0,200.0,0.002988155769186709,0.027764728845228796,-0.9751364464057894,N/A,0.3294925819356287,No,No,,,
5a: P - Purchase (traditional),CAR_0_1,,,,,,,grank_test,median,G-Rank Z test,12.0,12.0,200.0,-0.00854460204823565,0.027764728845228796,1.2288709299093366,N/A,0.21912020230426732,No,No,,,
5a: P - Purchase (traditional),CAR_0_5,,,,,,,grank_test,mean,G-Rank Z test,12.0,12.0,200.0,-0.009038890227858741,0.03727727912109475,-0.5124441529581445,N/A,0.6083401964199837,No,No,,,
5a: P - Purchase (traditional),CAR_0_5,,,,,,,grank_test,median,G-Rank Z test,12.0,12.0,200.0,-0.0024981891575031998,0.03727727912109475,0.059702231412599456,N/A,0.952392794497148,No,No,,,
