ticker,earnings_date,eps_estimate,reported_eps,surprise_pct
AAPL,2026-01-29 16:00:00,2.67,2.84,6.25
AAPL,2025-10-30 16:00:00,1.77,1.85,4.52
AAPL,2025-07-31 16:00:00,1.43,1.57,9.48
AAPL,2025-05-01 16:00:00,1.63,1.65,1.5
AAPL,2025-01-30 16:00:00,2.35,2.4,2.26
AAPL,2024-10-31 16:00:00,1.6,1.64,2.28
AAPL,2024-08-01 16:00:00,1.34,1.4,4.3
AAPL,2024-05-02 16:00:00,1.51,1.53,1.46
AAPL,2024-02-01 16:00:00,2.1,2.18,3.66
AAPL,2023-11-02 16:00:00,1.39,1.46,4.82
AAPL,2023-08-03 16:00:00,1.19,1.26,5.47
AAPL,2023-05-04 16:00:00,1.43,1.52,6.28
AAPL,2023-02-02 16:00:00,1.95,1.88,-3.67
AAPL,2022-10-27 16:00:00,1.27,1.29,1.44
AAPL,2022-07-28 16:00:00,1.16,1.2,3.86
AAPL,2022-04-28 16:00:00,1.43,1.52,6.3
AAPL,2022-01-27 16:00:00,1.89,2.1,11.16
AAPL,2021-10-28 16:00:00,1.24,1.24,0.17
AAPL,2021-07-27 16:00:00,1.01,1.3,28.18
AAPL,2021-04-28 16:00:00,0.99,1.4,41.59
AAPL,2021-01-27 16:00:00,1.42,1.68,18.67
AAPL,2020-10-29 16:00:00,0.7,0.73,4.48
AAPL,2020-07-30 16:00:00,0.52,0.65,24.47
AAPL,2020-04-30 17:00:00,0.56,0.64,12.93
ADBE,2026-03-12 16:00:00,5.87,6.06,3.18
ADBE,2025-12-10 16:00:00,5.4,5.5,1.9
ADBE,2025-09-11 16:00:00,5.18,5.31,2.48
ADBE,2025-06-12 16:00:00,4.97,5.06,1.71
ADBE,2025-03-12 16:00:00,4.97,5.08,2.17
ADBE,2024-12-11 16:00:00,4.67,4.81,3.01
ADBE,2024-09-12 16:00:00,4.54,4.65,2.49
ADBE,2024-06-13 16:00:00,4.4,4.48,1.92
ADBE,2024-03-14 16:00:00,4.38,4.48,2.23
ADBE,2023-12-13 16:00:00,4.14,4.27,3.17
ADBE,2023-09-14 16:00:00,3.98,4.1,3.06
ADBE,2023-06-15 16:00:00,3.79,3.91,3.22
ADBE,2023-03-15 16:00:00,2.65,2.71,2.17
ADBE,2022-12-15 16:00:00,3.5,3.6,2.72
ADBE,2022-09-15 08:00:00,3.34,3.4,1.66
ADBE,2022-06-16 16:00:00,3.31,3.35,1.31
ADBE,2022-03-22 16:00:00,3.34,3.37,0.78
ADBE,2021-12-16 08:00:00,3.2,3.2,0.04
ADBE,2021-09-21 16:00:00,3.02,3.11,3.11
ADBE,2021-06-17 16:00:00,2.82,3.03,7.55
ADBE,2021-03-23 16:00:00,2.79,3.14,12.68
ADBE,2020-12-10 08:00:00,2.66,2.81,5.66
ADBE,2020-09-15 16:00:00,2.41,2.57,6.56
ADBE,2020-06-11 16:00:00,2.32,2.45,5.68
ADI,2026-02-18 07:00:00,2.31,2.46,6.55
ADI,2025-11-25 07:00:00,2.23,2.26,1.13
ADI,2025-08-20 07:00:00,1.95,2.05,5.33
ADI,2025-05-22 07:00:00,1.69,1.85,9.37
ADI,2025-02-19 07:00:00,1.54,1.63,5.6
ADI,2024-11-26 07:00:00,1.64,1.67,1.88
ADI,2024-08-21 07:00:00,1.51,1.58,4.83
ADI,2024-05-22 07:00:00,1.27,1.4,10.34
ADI,2024-02-21 07:00:00,1.71,1.73,1.43
ADI,2023-11-21 07:00:00,2.02,2.01,-0.38
ADI,2023-08-23 07:00:00,2.52,2.49,-1.16
ADI,2023-05-24 07:00:00,2.76,2.83,2.67
ADI,2023-02-15 07:00:00,2.6,2.75,5.67
ADI,2022-11-22 07:00:00,2.59,2.73,5.51
ADI,2022-08-17 07:00:00,2.43,2.52,3.62
ADI,2022-05-18 07:00:00,2.11,2.4,13.69
ADI,2022-02-16 07:00:00,1.79,1.94,8.48
ADI,2021-11-23 07:00:00,1.7,1.73,1.9
ADI,2021-08-18 07:00:00,1.61,1.72,6.53
ADI,2021-05-19 07:00:00,1.45,1.54,6.04
ADI,2021-02-17 08:00:00,1.32,1.44,8.98
ADI,2020-11-24 08:00:00,1.33,1.44,8.66
ADI,2020-08-19 08:00:00,1.29,1.36,5.73
ADI,2020-05-20 07:00:00,1.04,1.08,3.5
ADP,2026-01-28 06:00:00,2.57,2.62,2.0
ADP,2025-10-29 06:00:00,2.44,2.49,1.94
ADP,2025-07-30 06:00:00,2.23,2.23,0.18
ADP,2025-04-30 06:00:00,2.97,3.06,2.93
ADP,2025-01-29 06:00:00,2.3,2.35,2.38
ADP,2024-10-30 06:00:00,2.21,2.33,5.32
ADP,2024-07-31 06:00:00,2.06,2.09,1.38
ADP,2024-05-01 06:00:00,2.78,2.88,3.45
ADP,2024-01-31 06:00:00,2.1,2.13,1.35
ADP,2023-10-25 06:00:00,2.02,2.08,2.8
ADP,2023-07-26 06:00:00,1.83,1.89,3.16
ADP,2023-04-26 06:00:00,2.45,2.52,2.73
ADP,2023-01-25 06:00:00,1.94,1.96,1.15
ADP,2022-10-26 06:00:00,1.79,1.86,3.91
ADP,2022-07-27 06:00:00,1.47,1.5,2.38
ADP,2022-04-27 06:00:00,2.08,2.21,6.38
ADP,2022-01-26 06:00:00,1.63,1.65,1.25
ADP,2021-10-27 06:00:00,1.49,1.65,10.98
ADP,2021-07-28 06:00:00,1.14,1.2,5.37
ADP,2021-04-28 06:00:00,1.78,1.89,5.94
ADP,2021-01-27 07:00:00,1.29,1.52,18.15
ADP,2020-10-28 07:00:00,0.98,1.41,44.43
ADP,2020-07-29 08:00:00,0.96,1.14,18.21
