ticker,event_date,event_type,alpha,beta,nearest_earnings_date,days_to_earnings,abs_days_to_earnings,earnings_surprise_pct,pre_earnings,CAR_pre20_pre1,CAR_0_1,CAR_0_5,CAR_0_10,CAR_0_20
AAPL,2024-11-19,S - Sale,0.0004425012294705,0.7746382965342219,2024-10-31 16:00:00,-13,13,2.28,False,-0.0329050799110977,-0.003786002142479,-0.0023911294184938,0.0192034905228738,0.0349560124616099
AAPL,2024-12-18,S - Sale,0.0004351122437651,0.7293366078546528,2025-01-30 16:00:00,27,27,2.26,True,0.0313894809881414,0.0114538847649757,0.0177763065735363,0.0193180784030795,-0.0282476554290525
AAPL,2025-02-04,S - Sale+OE,0.0010994602882374,0.7481413024998156,2025-01-30 16:00:00,-3,3,2.26,False,-0.0482824920232058,0.0058229111519046,-0.0107519993401358,0.0382488037994963,0.0708643560017108
AAPL,2025-04-03,S - Sale+OE,0.0008252255011083,0.6571389022706867,2025-05-01 16:00:00,19,19,1.5,True,0.0430620949129941,-0.0895469606246884,-0.1642785062558067,-0.0804074909809473,-0.052326963863302
AAPL,2025-04-25,S - Sale,0.0005910148930065,0.6803740013840581,2025-05-01 16:00:00,4,4,1.5,True,0.0373766677369181,-0.0048205290324808,0.0062274995535593,-0.0760226799956072,-0.0636327631299341
AAPL,2025-05-14,S - Sale,0.0001004236108574,0.931722099169034,2025-05-01 16:00:00,-9,9,1.5,False,-0.0786795412215875,-0.0121856818546176,-0.0300512226518737,-0.0732325296806438,-0.0639727120657779
ADBE,2024-12-10,S - Sale,-0.0018593717174123,0.8305695870802862,2024-12-11 16:00:00,1,1,3.01,True,0.0858721117771434,-0.0052085028903178,-0.1527742457531145,-0.1689202484004443,-0.159258721012359
ADBE,2025-01-28,S - Sale+OE,-0.0018593413402468,0.8706723718361598,2025-03-12 16:00:00,30,30,2.17,True,0.0661355433513884,-0.0024005980866991,-0.0078610262996521,-0.0041803080013606,0.0445319012122824
ADBE,2025-01-30,P - Purchase,-0.0018656451325165,0.8537523747991954,2025-03-12 16:00:00,28,28,2.17,True,0.0688484231347625,-0.0054519096137904,0.0033300231266415,-0.0018250195860237,0.0430701079142343
ADBE,2025-03-21,P - Purchase,-0.0008857861317949,0.7252068744365043,2025-03-12 16:00:00,-7,7,2.17,False,-0.0491142291665833,-0.0089342573852582,0.0161252399239736,0.0070391254577907,-0.040341398066935
