ticker,event_date,event_type,alpha,beta
AAPL,2024-11-19,S - Sale,0.0004425012294705848,0.7746382965342219
AAPL,2024-12-18,S - Sale,0.0004351122437651849,0.7293366078546528
AAPL,2025-02-04,S - Sale+OE,0.0010994602882374112,0.7481413024998156
AAPL,2025-04-03,S - Sale+OE,0.000825225501108324,0.6571389022706867
AAPL,2025-04-25,S - Sale,0.0005910148930065438,0.6803740013840581
AAPL,2025-05-14,S - Sale,0.00010042361085743341,0.931722099169034
ADBE,2024-12-10,S - Sale,-0.0018593717174123525,0.8305695870802862
ADBE,2025-01-28,S - Sale+OE,-0.0018593413402468303,0.8706723718361598
ADBE,2025-01-30,P - Purchase,-0.0018656451325165125,0.8537523747991954
ADBE,2025-03-21,P - Purchase,-0.0008857861317949315,0.7252068744365043
ADBE,2025-05-06,S - Sale,-0.001278502809313626,0.781771273072353
ADI,2024-11-04,S - Sale,-0.00023982033867023678,1.201481161628554
ADI,2024-11-05,S - Sale+OE,-0.000195598002937353,1.198428798960969
ADI,2024-12-12,S - Sale+OE,-0.00047899884404932046,1.1572533628507435
ADI,2025-01-03,S - Sale+OE,-0.00022507807920099036,1.1797603119415814
ADI,2025-02-27,S - Sale+OE,-0.0005780053325932218,1.1065381168991484
ADI,2025-03-06,S - Sale,-0.0006366722717342768,1.1127144973646126
ADI,2025-03-06,S - Sale+OE,-0.0006366722717342768,1.1127144973646126
ADI,2025-03-12,S - Sale,-0.0006787694540452993,1.1031394147744977
ADI,2025-03-13,S - Sale,-0.0008612107355036837,1.1037059897385908
ADI,2025-03-20,S - Sale,-7.203195379071282e-05,1.1105858132026192
ADI,2025-03-05,S - Sale+OE,-0.0005666065133579493,1.1155734032225193
ADI,2025-03-26,S - Sale,0.00010356080597352267,1.1014753919419658
ADI,2025-04-02,S - Sale+OE,8.800936263456518e-06,1.0962784194989161
ADI,2025-04-17,S - Sale,-0.0005597405929389716,1.0864547363660986
