Filing Date,Ticker,Company Name,Trade Type,days_since_prev,days_until_next,overlap_0_1,overlap_0_5,overlap_0_10,overlap_0_20,overlap_m20_m1,overlap_m20_p20,company_date
2024-11-19,AAPL,Apple Inc.,S - Sale,,29.0,False,False,False,False,False,False,AAPL_2024-11-19
2024-12-18,AAPL,Apple Inc.,S - Sale,29.0,128.0,False,False,False,False,False,False,AAPL_2024-12-18
2025-04-25,AAPL,Apple Inc.,S - Sale,128.0,19.0,False,False,False,True,False,True,AAPL_2025-04-25
2025-05-14,AAPL,Apple Inc.,S - Sale,19.0,,False,False,False,False,True,True,AAPL_2025-05-14
2025-02-04,AAPL,Apple Inc.,S - Sale+OE,,58.0,False,False,False,False,False,False,AAPL_2025-02-04
2025-04-03,AAPL,Apple Inc.,S - Sale+OE,58.0,,False,False,False,False,False,False,AAPL_2025-04-03
2025-01-30,ADBE,Adobe Inc.,P - Purchase,,50.0,False,False,False,False,False,False,ADBE_2025-01-30
2025-03-21,ADBE,Adobe Inc.,P - Purchase,50.0,,False,False,False,False,False,False,ADBE_2025-03-21
2024-12-10,ADBE,Adobe Inc.,S - Sale,,147.0,False,False,False,False,False,False,ADBE_2024-12-10
2025-05-06,ADBE,Adobe Inc.,S - Sale,147.0,,False,False,False,False,False,False,ADBE_2025-05-06
2025-01-28,ADBE,Adobe Inc.,S - Sale+OE,,,False,False,False,False,False,False,ADBE_2025-01-28
2024-11-04,ADI,Analog Devices Inc,S - Sale,,122.0,False,False,False,False,False,False,ADI_2024-11-04
2025-03-06,ADI,Analog Devices Inc,S - Sale,122.0,6.0,False,False,True,True,False,True,ADI_2025-03-06
2025-03-12,ADI,Analog Devices Inc,S - Sale,6.0,1.0,True,True,True,True,True,True,ADI_2025-03-12
2025-03-13,ADI,Analog Devices Inc,S - Sale,1.0,7.0,False,False,True,True,True,True,ADI_2025-03-13
2025-03-20,ADI,Analog Devices Inc,S - Sale,7.0,6.0,False,False,True,True,True,True,ADI_2025-03-20
2025-03-26,ADI,Analog Devices Inc,S - Sale,6.0,22.0,False,False,False,False,True,True,ADI_2025-03-26
2025-04-17,ADI,Analog Devices Inc,S - Sale,22.0,21.0,False,False,False,False,False,False,ADI_2025-04-17
2025-05-08,ADI,Analog Devices Inc,S - Sale,21.0,,False,False,False,False,False,False,ADI_2025-05-08
2024-11-05,ADI,Analog Devices Inc,S - Sale+OE,,37.0,False,False,False,False,False,False,ADI_2024-11-05
2024-12-12,ADI,Analog Devices Inc,S - Sale+OE,37.0,22.0,False,False,False,False,False,False,ADI_2024-12-12
2025-01-03,ADI,Analog Devices Inc,S - Sale+OE,22.0,55.0,False,False,False,False,False,False,ADI_2025-01-03
2025-02-27,ADI,Analog Devices Inc,S - Sale+OE,55.0,6.0,False,False,True,True,False,True,ADI_2025-02-27
2025-03-05,ADI,Analog Devices Inc,S - Sale+OE,6.0,1.0,True,True,True,True,True,True,ADI_2025-03-05
2025-03-06,ADI,Analog Devices Inc,S - Sale+OE,1.0,27.0,False,False,False,False,True,True,ADI_2025-03-06
2025-04-02,ADI,Analog Devices Inc,S - Sale+OE,27.0,30.0,False,False,False,False,False,False,ADI_2025-04-02
2025-05-02,ADI,Analog Devices Inc,S - Sale+OE,30.0,,False,False,False,False,False,False,ADI_2025-05-02
2025-01-03,ADP,Automatic Data Processing Inc,S - Sale,,3.0,False,True,True,True,False,True,ADP_2025-01-03
2025-01-06,ADP,Automatic Data Processing Inc,S - Sale,3.0,29.0,False,False,False,False,True,True,ADP_2025-01-06
2025-02-04,ADP,Automatic Data Processing Inc,S - Sale,29.0,57.0,False,False,False,False,False,False,ADP_2025-02-04
2025-04-02,ADP,Automatic Data Processing Inc,S - Sale,57.0,,False,False,False,False,False,False,ADP_2025-04-02
2024-11-08,ADP,Automatic Data Processing Inc,S - Sale+OE,,59.0,False,False,False,False,False,False,ADP_2024-11-08
2025-01-06,ADP,Automatic Data Processing Inc,S - Sale+OE,59.0,1.0,True,True,True,True,False,True,ADP_2025-01-06
2025-01-07,ADP,Automatic Data Processing Inc,S - Sale+OE,1.0,1.0,True,True,True,True,True,True,ADP_2025-01-07
