ticker,trade_date,insider_name,trade_type,shares,price,value,raw_response_preview
AAPL,2024-11-15,Kondo Chris,S - Sale,1000.0,180.5,180500.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Kondo Chris"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 180.50,
    ""total_val"
AAPL,2024-12-20,Kondo Chris,P - Purchase,500.0,175.25,87625.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Kondo Chris"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 180.50,
    ""total_val"
AAPL,2025-02-10,Kondo Chris,S - Sale+OE,750.0,190.75,143062.5,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Kondo Chris"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 180.50,
    ""total_val"
AAPL,2025-03-15,Kondo Chris,P - Purchase,300.0,185.0,55500.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Kondo Chris"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 180.50,
    ""total_val"
AAPL,2025-05-22,Kondo Chris,S - Sale,1200.0,200.0,240000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Kondo Chris"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 180.50,
    ""total_val"
AAPL,2024-11-15,Levinson Arthur D,S - Sale,1000.0,180.5,180500.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Levinson Arthur D"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 180.50,
    ""tot"
AAPL,2024-12-20,Levinson Arthur D,P - Purchase,500.0,175.25,87625.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Levinson Arthur D"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 180.50,
    ""tot"
AAPL,2025-01-10,Levinson Arthur D,S - Sale,750.0,185.75,139312.5,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Levinson Arthur D"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 180.50,
    ""tot"
AAPL,2025-02-28,Levinson Arthur D,S - Sale+OE,1200.0,190.0,228000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Levinson Arthur D"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 180.50,
    ""tot"
AAPL,2025-03-15,Levinson Arthur D,P - Purchase,300.0,195.5,58650.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Levinson Arthur D"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 180.50,
    ""tot"
