true_positives,false_positives,false_negatives,total_extracted,total_ground_truth,precision,recall,f1,hallucination_rate,date_accuracy,type_accuracy,mean_value_pct_error,ticker,approach
2,34,7,36,9,0.05555555555555555,0.2222222222222222,0.08888888888888888,0.9444444444444444,0.5,1.0,0.902535830635383,AAPL,manager
0,28,6,28,6,0.0,0.0,0.0,1.0,0.0,0.0,,ADBE,manager
0,30,16,30,16,0.0,0.0,0.0,1.0,0.0,0.0,,ADI,manager
2,56,18,58,20,0.034482758620689655,0.1,0.05128205128205129,0.9655172413793104,0.0,1.0,0.27086972095625456,ADP,manager
0,15,3,15,3,0.0,0.0,0.0,1.0,0.0,0.0,,AMAT,manager
7,64,31,71,38,0.09859154929577464,0.18421052631578946,0.12844036697247704,0.9014084507042254,0.14285714285714285,0.5714285714285714,0.8663801714453907,AMZN,manager
1,34,31,35,32,0.02857142857142857,0.03125,0.02985074626865672,0.9714285714285714,0.0,1.0,10.752811828636421,ANET,manager
3,68,34,71,37,0.04225352112676056,0.08108108108108109,0.05555555555555555,0.9577464788732394,0.0,0.6666666666666666,0.9382637795370564,APP,manager
1,61,12,62,13,0.016129032258064516,0.07692307692307693,0.026666666666666665,0.9838709677419355,0.0,1.0,0.9003862617957907,AVGO,manager
3,78,55,81,58,0.037037037037037035,0.05172413793103448,0.04316546762589928,0.9629629629629629,0.3333333333333333,0.3333333333333333,0.7911080180238687,CRM,manager
2,48,34,50,36,0.04,0.05555555555555555,0.046511627906976744,0.96,0.5,0.5,0.9357193704259622,CRWD,manager
3,37,18,40,21,0.075,0.14285714285714285,0.0983606557377049,0.925,1.0,1.0,0.924252873971792,CSCO,manager
2,34,19,36,21,0.05555555555555555,0.09523809523809523,0.07017543859649122,0.9444444444444444,0.5,0.5,0.7331762297233944,DELL,manager
1,35,24,36,25,0.027777777777777776,0.04,0.03278688524590164,0.9722222222222222,0.0,0.0,0.9396942835206253,EBAY,manager
5,39,35,44,40,0.11363636363636363,0.125,0.11904761904761904,0.8863636363636364,0.6,1.0,0.8084465394807594,GOOGL,manager
0,19,4,19,4,0.0,0.0,0.0,1.0,0.0,0.0,,IBM,manager
0,12,2,12,2,0.0,0.0,0.0,1.0,0.0,0.0,,INTC,manager
0,12,2,12,2,0.0,0.0,0.0,1.0,0.0,0.0,,LRCX,manager
11,41,127,52,138,0.21153846153846154,0.07971014492753623,0.11578947368421051,0.7884615384615384,0.36363636363636365,0.2727272727272727,0.6129995083920132,META,manager
3,27,7,30,10,0.1,0.3,0.15,0.9,0.0,1.0,0.9087224150327035,MSFT,manager
0,32,9,32,9,0.0,0.0,0.0,1.0,0.0,0.0,,MU,manager
10,89,46,99,56,0.10101010101010101,0.17857142857142858,0.12903225806451613,0.898989898989899,0.2,0.2,1.5002741948860117,NOW,manager
0,35,10,35,10,0.0,0.0,0.0,1.0,0.0,0.0,,NVDA,manager
0,27,7,27,7,0.0,0.0,0.0,1.0,0.0,0.0,,ORCL,manager
10,48,39,58,49,0.1724137931034483,0.20408163265306123,0.1869158878504673,0.8275862068965517,0.0,0.4,0.9834111452491875,PLTR,manager
0,5,1,5,1,0.0,0.0,0.0,1.0,0.0,0.0,,PYPL,manager
1,36,26,37,27,0.02702702702702703,0.037037037037037035,0.03125,0.972972972972973,1.0,0.0,0.9929258250115097,TSLA,manager
0,55,16,55,16,0.0,0.0,0.0,1.0,0.0,0.0,,TXN,manager
0,10,11,10,11,0.0,0.0,0.0,1.0,0.0,0.0,,VZ,manager
67,1109,650,1176,717,0.05697278911564626,0.09344490934449093,0.07078711040676175,0.9430272108843537,0.3023427552839318,0.6143621084797556,1.4565869409837722,AGGREGATE,manager
