Ticker,Company Name,Insider Name,Title
AAPL,Apple Inc.,Kondo Chris,Principal Accounting Officer
AAPL,Apple Inc.,Levinson Arthur D,Dir
AAPL,Apple Inc.,Williams Jeffrey E,COO
AAPL,Apple Inc.,Adams Katherine L.,"SVP, GC, Secretary"
AAPL,Apple Inc.,Cook Timothy D,CEO
AAPL,Apple Inc.,Parekh Kevan,"SVP, CFO"
ADBE,Adobe Inc.,Banse Amy,Dir
ADBE,Adobe Inc.,Belsky Scott,"Chief Strategy Officer, EVP"
ADBE,Adobe Inc.,Forusz Jillian,"SVP, CAO"
ADBE,Adobe Inc.,Ricks David A,Dir
ADBE,Adobe Inc.,Durn Daniel,"EVP, CFO"
ADI,Analog Devices Inc,Bryant Gregory M,"EVP, Pres Global Bus. Units"
ADI,Analog Devices Inc,Roche Vincent,"Chair, CEO"
ADI,Analog Devices Inc,Johnson Mercedes,Dir
ADI,Analog Devices Inc,Stata Ray,Dir
ADI,Analog Devices Inc,Puccio Richard C Jr,"EVP, CFO"
ADI,Analog Devices Inc,Jain Vivek,"EVP, Global Operations"
ADP,Automatic Data Processing Inc,Kutam Sreenivasa,Corp VP
ADP,Automatic Data Processing Inc,Michaud Brian L.,Corp VP
ADP,Automatic Data Processing Inc,Kwon David,Corp VP
ADP,Automatic Data Processing Inc,McGuire Don,Corp VP
ADP,Automatic Data Processing Inc,Lehberger Jonathan S,Corp. VP
ADP,Automatic Data Processing Inc,Black Maria,"Pres, CEO"
ADP,Automatic Data Processing Inc,Ayala John,Corp. VP
ADP,Automatic Data Processing Inc,Desilva Joseph,Corp VP
ADP,Automatic Data Processing Inc,Foskett David,Corp. VP
ADP,Automatic Data Processing Inc,Magliulo Virginia,Corp VP
ADP,Automatic Data Processing Inc,Bonarti Michael A,Corporate VP
ADP,Automatic Data Processing Inc,D'Ambrosio Christopher,Corp. VP
AMAT,Applied Materials Inc /de,Sanders Adam,"Corp. Controller, CAO"
AMAT,Applied Materials Inc /De,Sanders Adam,"Corp. Controller, CAO"
AMAT,Applied Materials Inc /De,Dickerson Gary E,"Pres, CEO"
AMZN,Amazon Com Inc,Bezos Jeffrey P,"Exec Chair, 10%"
AMZN,Amazon Com Inc,Herrington Douglas J,CEO Worldwide Amazon Stores
AMZN,Amazon Com Inc,Rubinstein Jonathan,Dir
AMZN,Amazon Com Inc,Alexander Keith Brian,Dir
AMZN,Amazon Com Inc,Bezos Jeffrey P,Exec Chair
AMZN,Amazon Com Inc,Huttenlocher Daniel P,Dir
AMZN,Amazon Com Inc,Garman Matthew S,CEO Amazon Web Services
AMZN,Amazon Com Inc,Reynolds Shelley,VP
AMZN,Amazon Com Inc,Zapolsky David,SVP
AMZN,Amazon Com Inc,Olsavsky Brian T,"SVP, CFO"
AMZN,Amazon Com Inc,Jassy Andrew R,"Pres, CEO"
ANET,"Arista Networks, Inc.",Taxay Marc,"SVP, GC"
ANET,"Arista Networks, Inc.",McCool John F,Chief Platform Officer
ANET,"Arista Networks, Inc.",Giancarlo Charles H,Dir
ANET,"Arista Networks, Inc.",Ullal Jayshree,"Pres, CEO"
ANET,"Arista Networks, Inc.",Duda Kenneth,"CTO, SVP Software Eng."
ANET,"Arista Networks, Inc.",Wassenaar Yvonne,Dir
ANET,"Arista Networks, Inc.",Battles Kelly Bodnar,Dir
APP,Applovin Corp,Jansen Katie Kihorany,CMO
APP,Applovin Corp,Stumpf Matthew,CFO (CFO)
APP,Applovin Corp,Billings Craig Scott,Dir
APP,Applovin Corp,Shikin Vasily,CTO
APP,Applovin Corp,Kkr Denali Holdings L.P.,10%
APP,Applovin Corp,Kkr Group Partnership L.P.,10%
APP,Applovin Corp,Vivas Eduardo,Dir
APP,Applovin Corp,Harvey Dawson Alyssa,Dir
APP,Applovin Corp,Georgiadis Mary Margaret Hastings,Dir
APP,Applovin Corp,Valenzuela Victoria,"CLO, Corp. Secretary"
APP,Applovin Corp,Chen Herald Y,"Pres, CFO"
