X;Filing Date;Trade Date;Ticker;Company Name;Insider Name;Title;Trade Type;Price;Qty;Owned;ΔOwn;Value;1d;1w;1m;6m
;19.11.2024 18:30;18.11.2024;AAPL;Apple Inc.;Kondo Chris;Principal Accounting Officer;S - Sale;$228.87;-4,13;15,419;-21%;-$945,233;;;;
M;19.11.2024 18:31;15.11.2024;AAPL;Apple Inc.;Levinson Arthur D;Dir;S - Sale;$227.32;-200;4,215,576;-5%;-$45,464,500;;;;
;18.12.2024 18:30;16.12.2024;AAPL;Apple Inc.;Williams Jeffrey E;COO;S - Sale;$249.97;-100;389,944;-20%;-$24,997,395;;;;
D;04.02.2025 18:33;03.02.2025;AAPL;Apple Inc.;Levinson Arthur D;Dir;S - Sale+OE;$226.35;-1,516;4,215,576;0%;-$343,147;;;;
D;03.04.2025 18:31;02.04.2025;AAPL;Apple Inc.;Adams Katherine L.;SVP, GC, Secretary;S - Sale+OE;$223.67;-38,822;179,158;-18%;-$8,683,252;;;;
D;03.04.2025 18:32;02.04.2025;AAPL;Apple Inc.;Cook Timothy D;CEO;S - Sale+OE;$223.65;-108,136;3,280,295;-3%;-$24,184,659;;;;
D;03.04.2025 18:33;02.04.2025;AAPL;Apple Inc.;Williams Jeffrey E;COO;S - Sale+OE;$224.01;-35,493;390,059;-8%;-$7,950,691;;;;
;25.04.2025 18:30;23.04.2025;AAPL;Apple Inc.;Parekh Kevan;SVP, CFO;S - Sale;$206.00;-4,57;4,569;-50%;-$941,420;;;;
;14.05.2025 18:30;12.05.2025;AAPL;Apple Inc.;Kondo Chris;Principal Accounting Officer;S - Sale;$208.19;-4,486;15,533;-22%;-$933,955;;;;
;10.12.2024 16:01;06.12.2024;ADBE;Adobe Inc.;Banse Amy;Dir;S - Sale;$550.00;-606;32,984;-2%;-$333,300;;;;
DM;28.01.2025 16:58;24.01.2025;ADBE;Adobe Inc.;Belsky Scott;Chief Strategy Officer, EVP;S - Sale+OE;$431.61;-4,741;18,334;-21%;-$2,046,259;;;;
D;28.01.2025 16:58;28.01.2025;ADBE;Adobe Inc.;Forusz Jillian;SVP, CAO;S - Sale+OE;$435.83;-334;2,685;-11%;-$145,567;;;;
;30.01.2025 19:45;28.01.2025;ADBE;Adobe Inc.;Ricks David A;Dir;P - Purchase;$443.98;2,25;8,897;34%;+$998,946;;;;
;21.03.2025 16:34;20.03.2025;ADBE;Adobe Inc.;Durn Daniel;EVP, CFO;P - Purchase;$390.58;1,3;29,876;5%;+$507,758;;;;
;06.05.2025 16:14;02.05.2025;ADBE;Adobe Inc.;Forusz Jillian;SVP, CAO;S - Sale;$380.58;-462;2,834;-14%;-$175,828;;;;
;04.11.2024 16:49;01.11.2024;ADI;Analog Devices Inc;Bryant Gregory M;EVP, Pres Global Bus. Units;S - Sale;$223.87;-20;59,093;-25%;-$4,477,400;;;;
D;05.11.2024 17:00;01.11.2024;ADI;Analog Devices Inc;Roche Vincent;Chair, CEO;S - Sale+OE;$223.87;-10;100,326;-9%;-$2,238,700;;;;
D;12.12.2024 17:27;11.12.2024;ADI;Analog Devices Inc;Roche Vincent;Chair, CEO;S - Sale+OE;$215.83;-10;100,326;-9%;-$2,158,300;;;;
D;03.01.2025 17:09;02.01.2025;ADI;Analog Devices Inc;Roche Vincent;Chair, CEO;S - Sale+OE;$215.49;-10;100,326;-9%;-$2,154,900;;;;
D;27.02.2025 16:22;26.02.2025;ADI;Analog Devices Inc;Roche Vincent;Chair, CEO;S - Sale+OE;$234.82;-10;100,326;-9%;-$2,348,200;;;;
;06.03.2025 16:28;05.03.2025;ADI;Analog Devices Inc;Johnson Mercedes;Dir;S - Sale;$227.12;-6;1,836;-77%;-$1,362,720;;;;
D;06.03.2025 16:26;05.03.2025;ADI;Analog Devices Inc;Stata Ray;Dir;S - Sale+OE;$224.52;-2,093;839,302;0%;-$469,920;;;;
;12.03.2025 16:29;11.03.2025;ADI;Analog Devices Inc;Roche Vincent;Chair, CEO;S - Sale;$210.44;-10;153,261;-6%;-$2,104,428;;;;
;13.03.2025 16:12;12.03.2025;ADI;Analog Devices Inc;Roche Vincent;Chair, CEO;S - Sale;$209.12;-10;143,261;-7%;-$2,091,237;;;;
;20.03.2025 16:44;19.03.2025;ADI;Analog Devices Inc;Puccio Richard C Jr;EVP, CFO;S - Sale;$209.19;-4;49,916;-7%;-$836,760;;;;
D;05.03.2025 16:29;03.03.2025;ADI;Analog Devices Inc;Roche Vincent;Chair, CEO;S - Sale+OE;$232.62;-10;100,326;-9%;-$2,326,200;;;;
;26.03.2025 16:32;24.03.2025;ADI;Analog Devices Inc;Jain Vivek;EVP, Global Operations;S - Sale;$210.00;-12,684;43,175;-23%;-$2,663,640;;;;
D;02.04.2025 16:26;01.04.2025;ADI;Analog Devices Inc;Roche Vincent;Chair, CEO;S - Sale+OE;$200.26;-10;186,255;-5%;-$2,002,600;;;;
M;17.04.2025 18:45;15.04.2025;ADI;Analog Devices Inc;Stata Ray;Dir;S - Sale;$177.49;-6,25;835,417;-1%;-$1,109,327;;;;
D;02.05.2025 16:18;01.05.2025;ADI;Analog Devices Inc;Roche Vincent;Chair, CEO;S - Sale+OE;$196.84;-10;221,339;-4%;-$1,968,400;;;;
M;08.05.2025 16:25;06.05.2025;ADI;Analog Devices Inc;Stata Ray;Dir;S - Sale;$196.86;-6,25;829,167;-1%;-$1,230,365;;;;
D;08.11.2024 16:15;06.11.2024;ADP;Automatic Data Processing Inc;Kutam Sreenivasa;Corp VP;S - Sale+OE;$300.00;-38,975;32,604;-54%;-$11,692,500;;;;
;03.01.2025 17:15;02.01.2025;ADP;Automatic Data Processing Inc;Michaud Brian L.;Corp VP;S - Sale;$293.83;-362;13,706;-3%;-$106,366;;;;
D;06.01.2025 17:00;02.01.2025;ADP;Automatic Data Processing Inc;Kwon David;Corp VP;S - Sale+OE;$293.83;-1,946;9,369;-17%;-$571,793;;;;
D;06.01.2025 17:00;02.01.2025;ADP;Automatic Data Processing Inc;McGuire Don;Corp VP;S - Sale+OE;$293.83;-8,664;22,129;-28%;-$2,545,743;;;;
D;06.01.2025 17:00;02.01.2025;ADP;Automatic Data Processing Inc;Lehberger Jonathan S;Corp. VP;S - Sale+OE;$293.83;-2,479;5,387;-32%;-$728,405;;;;
;06.01.2025 16:59;03.01.2025;ADP;Automatic Data Processing Inc;Black Maria;Pres, CEO;S - Sale;$291.59;-721;68,856;-1%;-$210,233;;;;
D;06.01.2025 17:00;03.01.2025;ADP;Automatic Data Processing Inc;Ayala John;Corp. VP;S - Sale+OE;$290.73;-10,72;17,971;-37%;-$3,116,626;;;;
D;06.01.2025 17:00;02.01.2025;ADP;Automatic Data Processing Inc;Desilva Joseph;Corp VP;S - Sale+OE;$293.83;-6,516;18,051;-27%;-$1,914,596;;;;
D;07.01.2025 16:23;06.01.2025;ADP;Automatic Data Processing Inc;Foskett David;Corp. VP;S - Sale+OE;$289.29;-1,004;5,958;-14%;-$290,443;;;;
DM;07.01.2025 16:23;03.01.2025;ADP;Automatic Data Processing Inc;Kwon David;Corp VP;S - Sale+OE;$290.37;-1,316;9,02;-13%;-$382,127;;;;
D;08.01.2025 17:01;06.01.2025;ADP;Automatic Data Processing Inc;Magliulo Virginia;Corp VP;S - Sale+OE;$289.15;-2,065;11,017;-16%;-$597,095;;;;
D;14.01.2025 16:07;13.01.2025;ADP;Automatic Data Processing Inc;Foskett David;Corp. VP;S - Sale+OE;$286.15;-1,067;6,14;-15%;-$305,322;;;;
D;15.01.2025 17:06;13.01.2025;ADP;Automatic Data Processing Inc;Magliulo Virginia;Corp VP;S - Sale+OE;$285.50;-3,578;9,141;-28%;-$1,021,519;;;;
;04.02.2025 16:34;03.02.2025;ADP;Automatic Data Processing Inc;Lehberger Jonathan S;Corp. VP;S - Sale;$303.30;-2,324;3,063;-43%;-$704,869;;;;
D;04.02.2025 16:33;03.02.2025;ADP;Automatic Data Processing Inc;Bonarti Michael A;Corporate VP;S - Sale+OE;$303.30;-30,131;80,272;-27%;-$9,138,732;;;;
D;12.02.2025 16:10;10.02.2025;ADP;Automatic Data Processing Inc;D'Ambrosio Christopher;Corp. VP;S - Sale+OE;$308.24;-471;7,118;-6%;-$145,181;;;;
D;12.03.2025 16:02;10.03.2025;ADP;Automatic Data Processing Inc;D'Ambrosio Christopher;Corp. VP;S - Sale+OE;$306.20;-473;7,244;-6%;-$144,833;;;;
;02.04.2025 16:06;01.04.2025;ADP;Automatic Data Processing Inc;Michaud Brian L.;Corp VP;S - Sale;$305.38;-1,5;12,073;-11%;-$458,070;;;;
D;14.04.2025 16:04;10.04.2025;ADP;Automatic Data Processing Inc;D'Ambrosio Christopher;Corp. VP;S - Sale+OE;$293.14;-478;7,364;-6%;-$140,121;;;;
D;14.05.2025 16:02;12.05.2025;ADP;Automatic Data Processing Inc;D'Ambrosio Christopher;Corp. VP;S - Sale+OE;$311.82;-472;7,491;-6%;-$147,179;;;;
;25.02.2025 18:03;24.02.2025;AMAT;Applied Materials Inc /de;Sanders Adam;Corp. Controller, CAO;S - Sale;$172.73;-271;6,479;-4%;-$46,808;;;;
;03.04.2025 18:14;01.04.2025;AMAT;Applied Materials Inc /De;Sanders Adam;Corp. Controller, CAO;S - Sale;$144.83;-450;5,862;-7%;-$65,174;;;;
;07.04.2025 18:09;03.04.2025;AMAT;Applied Materials Inc /De;Dickerson Gary E;Pres, CEO;P - Purchase;$137.30;50;1,716,058;3%;+$6,865,082;;;;
