Filing Date,Ticker,Company Name,Trade Type
19.11.2024,AAPL,Apple Inc.,S - Sale
18.12.2024,AAPL,Apple Inc.,S - Sale
04.02.2025,AAPL,Apple Inc.,S - Sale+OE
03.04.2025,AAPL,Apple Inc.,S - Sale+OE
25.04.2025,AAPL,Apple Inc.,S - Sale
14.05.2025,AAPL,Apple Inc.,S - Sale
10.12.2024,ADBE,Adobe Inc.,S - Sale
28.01.2025,ADBE,Adobe Inc.,S - Sale+OE
30.01.2025,ADBE,Adobe Inc.,P - Purchase
21.03.2025,ADBE,Adobe Inc.,P - Purchase
06.05.2025,ADBE,Adobe Inc.,S - Sale
04.11.2024,ADI,Analog Devices Inc,S - Sale
05.11.2024,ADI,Analog Devices Inc,S - Sale+OE
12.12.2024,ADI,Analog Devices Inc,S - Sale+OE
03.01.2025,ADI,Analog Devices Inc,S - Sale+OE
27.02.2025,ADI,Analog Devices Inc,S - Sale+OE
06.03.2025,ADI,Analog Devices Inc,S - Sale
06.03.2025,ADI,Analog Devices Inc,S - Sale+OE
12.03.2025,ADI,Analog Devices Inc,S - Sale
13.03.2025,ADI,Analog Devices Inc,S - Sale
20.03.2025,ADI,Analog Devices Inc,S - Sale
05.03.2025,ADI,Analog Devices Inc,S - Sale+OE
26.03.2025,ADI,Analog Devices Inc,S - Sale
02.04.2025,ADI,Analog Devices Inc,S - Sale+OE
17.04.2025,ADI,Analog Devices Inc,S - Sale
02.05.2025,ADI,Analog Devices Inc,S - Sale+OE
08.05.2025,ADI,Analog Devices Inc,S - Sale
08.11.2024,ADP,Automatic Data Processing Inc,S - Sale+OE
03.01.2025,ADP,Automatic Data Processing Inc,S - Sale
06.01.2025,ADP,Automatic Data Processing Inc,S - Sale+OE
06.01.2025,ADP,Automatic Data Processing Inc,S - Sale
07.01.2025,ADP,Automatic Data Processing Inc,S - Sale+OE
08.01.2025,ADP,Automatic Data Processing Inc,S - Sale+OE
14.01.2025,ADP,Automatic Data Processing Inc,S - Sale+OE
